Sequencial; Receitas; Despesas
100000000167; 7355; 7355
270000000242; 38294.52; 38294.52
150000000321; 7152.75; 7152.75
190000002819; 700; 700
10000000574; Sem lancamento; -
70000000397; 6739.74; 6710.94
90000000467; 3134; 3134
20000000291; Sem lancamento; -
160000000728; 3000; 3000
190000001216; Sem lancamento; -
190000001934; 24135.77; 24134.36
170000000594; 1500; 1500
90000001303; Sem prestacao; Sem prestacao
220000000184; Sem lancamento; -
130000001744; Sem lancamento; -
150000000539; 2198; 2198
220000000524; Sem lancamento; -
250000001178; 25890; 25890
250000000564; 408479.42; 424335.32
250000002902; Sem lancamento; -
250000001228; 1850; 1850
130000000212; 2485.9; 2485.9
250000001507; 1388097.88; 1386366.65
70000001156; 311671.39; 311671.39
90000001192; 700; 700
70000000919; Sem prestacao; Sem prestacao
150000000109; Sem prestacao; Sem prestacao
80000000369; 572091.59; 572091.59
260000000139; 55901.57; 55901.57
190000003023; 1494; 1494
70000000377; 4517; 4517
130000001434; 5183.92; 5183.92
250000001782; 1.7; 1.7
220000000030; 892647; 892647
250000001143; 5999.46; 5999.46
250000002921; 7617; 7617
240000000148; 65359; 65352.46
130000001349; 466769.28; 466769.28
90000000812; 3082.9; 3082.9
70000000128; 16736.03; 16736.03
250000000579; 520351.01; 520351.01
190000001969; Sem prestacao; Sem prestacao
230000000402; 25888; 25888
190000000091; 2873; 2873
160000000380; 3459; 3459
190000001378; 2658.74; 3741.74
150000000433; 310; 310
80000000681; Sem prestacao; Sem prestacao
90000000070; 22706.4; 22706.4
210000000159; 70625; 70454.75
140000000009; 76451.5; 76451.5
200000000293; 7534; 7510.8
210000000806; 60148.5; 59843.7
170000000534; 3000; 3000
190000000082; 98345; 98253.83
90000000347; 33355.83; 33355.83
160000000455; Sem lancamento; -
80000000365; Sem lancamento; -
170000000188; 9864; 9864
50000000303; 7284.13; 7284.13
170000000544; Sem lancamento; -
190000000581; 1400; 1400
90000001126; 400; 400
70000000297; Sem prestacao; Sem prestacao
70000000285; 400; 394.72
100000000153; 1500; 1500
60000000710; 121977.51; 117603.69
190000002934; Sem lancamento; -
30000000060; Sem prestacao; Sem prestacao
100000000550; 105; 100
40000000082; 1345909.33; 1345837.75
100000000561; 500; 500
160000000604; 490325.01; 490156.35
80000000278; Sem prestacao; Sem prestacao
130000001478; 180; 180
250000001317; 3547342.39; 3533342.39
160000000102; 2706.64; 2706.64
130000000516; Sem lancamento; -
250000001205; Sem prestacao; Sem prestacao
50000000625; Sem prestacao; Sem prestacao
110000000489; Sem lancamento; -
250000002202; 16555.5; 16341.1
200000000022; 2063.5; 2063.5
70000000129; 7180; 7180
90000000979; Sem lancamento; -
180000000301; Sem lancamento; -
20000000142; Sem lancamento; -
250000000349; 484.5; 484.5
250000000345; 2002.55; 2002.55
250000003866; Sem lancamento; -
130000001654; Sem lancamento; -
90000000493; 20300; 20300
250000001668; 200; 200
10000000556; Sem lancamento; -
90000000485; 3134; 3134
130000001077; 345519.2; 345519.2
250000003343; 129529.8; 129529.8
250000002097; 333135.97; 333137.29
100000000838; 4532; 4532
250000000403; 240969.65; 240961.85
50000000754; 187533.82; 187493.92
190000001269; Sem prestacao; Sem prestacao
250000000882; 284498.14; 284498.14
100000000687; Sem lancamento; -
250000001110; 22152.93; 22152.93
60000000504; 900; 900
100000000096; 1980; 1980
250000000113; Sem lancamento; -
50000000585; Sem prestacao; Sem prestacao
170000000312; Sem lancamento; -
250000000012; 5617.02; 5617.02
70000000627; Sem lancamento; -
160000001161; Sem prestacao; Sem prestacao
80000000393; 30292.94; 30292.94
190000002584; Sem lancamento; -
190000003215; 3100; 3100
210000000679; 97600; 97582.19
250000002684; 10415.17; 10406.57
250000002106; 16234.82; 16234.82
50000001037; Sem lancamento; -
160000001274; 160; 160
140000000037; 700; 700
190000000492; 3490; 3490
120000000042; Sem prestacao; Sem prestacao
140000000628; Sem prestacao; Sem prestacao
250000001069; 12485; 12485
250000003721; 8496.08; 9222.08
170000000427; 4940; 4940
60000000593; Sem lancamento; -
130000000591; 164379.53; 164379.53
200000000082; 1348.2; 1348.2
200000000168; 700055.5; 700053.3
190000000925; 675; 675
140000000053; 2500; 2500
20000000168; 2400; 2400
130000000720; 4277.2; 4277.2
150000000420; Sem lancamento; -
130000000454; Sem lancamento; -
130000000939; Sem prestacao; Sem prestacao
50000000239; Sem lancamento; -
190000002192; 1224; 1224
250000000404; 121128.07; 97433.07
10000000580; 3199; 3199
190000003254; Sem lancamento; -
60000000427; 7291.17; 7291.17
90000001044; 1000; 1000
150000000148; Sem lancamento; -
190000001786; 2050; 2050
120000000500; 1398470.44; 1408806.54
90000001059; Sem lancamento; -
50000000827; 1875; 1875
50000000581; 500; 500
60000000697; 428657.51; 428636.64
90000001037; 28467.25; 28854.15
90000001147; 71350.9; 71350.9
130000000606; 5069.25; 5069.25
40000000577; 24580.73; 24580.73
50000000712; Sem prestacao; Sem prestacao
190000003164; 22120.64; 22120.64
60000000636; Sem lancamento; -
50000000543; Sem lancamento; -
50000000897; 2264; 2264
60000000627; 8540; 8500
210000000019; 2530; 2498.4
250000002473; Sem lancamento; -
70000000552; Sem lancamento; 120
140000000275; 7505; 7496.3
110000000409; Sem lancamento; -
140000000462; 2262.43; 2262.43
50000001025; Sem prestacao; Sem prestacao
170000000119; Sem lancamento; -
90000000492; 5254; 5154
160000000169; 186056.64; 186013.99
140000000101; 800; 800
60000000302; 600; 600
210000000743; 11063; 11063
240000000551; 8218.4; 8218.4
120000000218; 12320; 12320
140000000104; 1873.57; 1873.57
120000000508; 1581508; 1767773.87
120000000569; 25220; 25220
190000001369; 3090; 3090
230000000452; 199396; 198688.91
90000000528; 141998; 143298
190000001975; 3000; 3000
100000000204; 2100; 2100
150000000457; 16810; 1914.6
220000000111; 2870.5; 2870.5
190000000364; Sem prestacao; Sem prestacao
70000000063; Sem prestacao; Sem prestacao
20000000217; 16273.33; 16273.33
20000000446; 3190; 3180.4
190000002018; 31692.5; 31692
250000001904; 2059; 2048.9
250000002979; 497.3; 497.3
70000000755; 5460; 5460
250000000724; 8238; 8238
160000001262; 7498.5; 7498.51
190000000625; 2420.02; 2420.02
130000001189; 390185.35; 381685.37
250000002975; Sem lancamento; -
110000000065; 80030.35; 80030.35
120000000169; Sem lancamento; -
40000000684; Sem prestacao; Sem prestacao
100000000258; 127550; 127550
190000001239; Sem lancamento; -
190000002806; 166881.53; 166881.53
170000000721; 50000; 50000
240000000475; 373176.79; 373176.79
170000000668; Sem lancamento; -
50000000015; 3773.5; 3773.5
40000000157; 2200; 2200
70000000092; Sem prestacao; Sem prestacao
20000000167; 1451276.56; 1534007.44
150000000189; 1146; 1146
80000000499; 6430; 6541.5
190000001466; 5302.5; 5302.5
190000001198; 3180; 3180
30000000452; 2199.9; 2199.9
250000002070; 27234.66; 27234.66
70000000233; 14458.6; 14445.5
100000000677; 276787.49; 276774.92
130000001366; 4830; 4828.4
130000000257; 5791.06; 5679.46
140000000064; Sem lancamento; -
30000000399; 50020.02; 50006.79
20000000345; 1281.81; 1281.81
190000002452; 255561.55; 255561.55
40000001182; Sem prestacao; Sem prestacao
190000002615; 5700; 5700
190000002532; 1340; 1340
250000000084; 6547.02; 6497.02
160000000360; 1109; 1109
240000000661; Sem lancamento; -
250000002871; Sem lancamento; 2348
90000000800; 500; 500
130000001734; 180522; 180519.23
190000000815; Sem lancamento; -
60000000915; Sem lancamento; -
90000000016; 1550; 1550
60000000153; 41625; 41450.4
160000000865; 600; 600
240000000194; 18182; 17969.22
70000000501; 120084.42; 120037.51
90000000695; 1289.9; 1289.9
250000001456; 18359.46; 18359.46
250000002907; Sem prestacao; Sem prestacao
250000000990; Sem prestacao; Sem prestacao
220000000375; 130537.71; 129536.27
250000002130; 19301.48; 19301.48
250000002293; 2257.71; 2257.71
130000001753; Sem lancamento; -
30000000415; Sem lancamento; -
30000000497; 950; 950
190000001721; 3648; 3648
230000000233; 337642.02; 337606.97
270000000026; 17585.5; 17576.5
270000000298; 12043.48; 12043.48
140000000699; 300; 300
140000000545; Sem lancamento; -
70000000604; 8082.22; 8082.22
40000000240; 66989; 66989
160000001014; 30; 18.4
90000001208; Sem lancamento; -
170000000113; 473822.96; 473807.73
190000000978; 18812.5; 18716.74
10000000331; 919.5; 919.5
130000000471; 4450; 4450
70000000724; 92109.33; 92044.09
20000000153; 2281353.44; 2281353.44
120000000358; 50248.5; 50248.5
210000000293; 31807; 31807
60000000032; Sem prestacao; Sem prestacao
60000000145; 54887.25; 54116.95
210000001007; 56849.46; 56849.46
250000002990; 50121.43; 50107.72
160000000990; 49792.69; 49792.69
270000000114; Sem lancamento; -
150000000220; 23339.64; 23319.64
160000001090; Sem lancamento; -
180000000314; 3400; 3400
190000002776; 60900; 60900
190000000652; 1394; 1394
250000000810; 215131.91; 215131.91
100000000262; 796400; 796400
90000001131; Sem prestacao; Sem prestacao
260000000014; 900; 900
80000000013; 44501.16; 44492.18
260000000259; Sem lancamento; -
260000000056; 285.85; 285.85
210000000216; 5689.55; 5689.55
50000001009; 1826; 1826
120000000241; Sem lancamento; -
40000000699; 837.5; 837.5
70000000269; 2635; 2160.77
230000000330; 284843.82; 284387.02
190000002142; 57120.5; 57110.5
90000001293; Sem prestacao; Sem prestacao
130000001121; 127038.42; 127038.42
10000000266; 62037.25; 61966.81
190000001954; 22472.32; 22399.6
200000000116; Sem prestacao; Sem prestacao
270000000226; 791392.16; 791392.16
60000000741; 150357.51; 150282.84
130000000407; 5000; 5000
110000000501; Sem lancamento; -
60000000850; 1724; 1724
180000000067; 37498.28; 37498.28
210000001094; 1724; 1724
160000000190; Sem lancamento; -
100000000245; 660; 660
50000000503; 3951; 1840
190000000945; 1352.5; 1352.5
190000001641; 1925.14; 1915
190000000990; 1855; 1855
140000000056; 572930.43; 572690.37
130000001141; 4822.5; 4822.5
250000002162; 100025.94; 100029.95
220000000216; 1111.11; 1111.11
220000000478; 1028.75; 1028.75
50000000884; Sem lancamento; -
110000000432; 26265.67; 26265.67
260000000245; 172651.49; 172651.49
160000000623; 37472.6; 37469.65
160000000627; Sem lancamento; -
100000000401; 380; 380
80000000008; Sem lancamento; -
140000000972; Sem lancamento; -
160000001422; Sem prestacao; Sem prestacao
250000000276; Sem prestacao; Sem prestacao
80000000067; Sem lancamento; -
20000000196; 2400; 2400
250000003106; 1500; 1500
190000000898; 2162.5; 2162.5
140000000887; 68656.14; 68656.14
190000002058; 6052.5; 6052.5
210000000249; 48579.8; 48579.8
100000000127; Sem lancamento; -
190000002269; 4732.5; 4732.5
270000000521; 9108; 9000.85
250000000338; 1789; 1789
170000000214; 11150; 11150
190000002835; 1874; 1874
170000000332; 19760; 19760
40000000543; 598752.16; 598752.16
70000000480; 6736.87; 6736.87
230000000019; 665; 665
250000000799; 39959.33; 39959.33
250000003359; 4650; 25765
10000000561; 40379.32; 40378.02
40000000795; Sem prestacao; Sem prestacao
100000000540; 11000; 10862.4
90000000074; 40024.29; 40024.29
250000003881; 2000; 2000
150000000545; 1800; 1800
100000000113; Sem prestacao; Sem prestacao
200000000186; 422500; 422216.33
150000000536; 125529.25; 125521.61
210000000394; 29485; 27212.82
230000000026; 12467; 12417
110000000437; 27921.94; 27921.94
230000000324; 133245.02; 132310.86
160000001088; 6756.64; 6756.64
180000000298; Sem lancamento; -
220000000045; 6882.99; 6882.99
250000002509; 7782.65; 7782.65
210000000111; 7783.25; 7783.25
150000000253; 3945.75; 3945.75
130000001678; 11585; 11585
10000000389; 34260; 33241.6
140000000715; 100; 100
230000000365; 5290; 5290
190000002639; Sem prestacao; Sem prestacao
60000000043; 50; 50
190000001424; 676819.6; 675942.97
140000000178; 137911; 137866.49
270000000171; 48270.42; 43715.62
240000000341; Sem lancamento; -
70000000628; 1000; 2193.99
70000000544; 4830; 4763.24
90000000822; 14760.05; 14760.05
100000001085; 1500; 1500
60000000650; 1200; 1200
200000000275; 41968.2; 41848.46
90000000019; 13000; 13000
40000000886; Sem lancamento; -
20000000317; 4550; 4549.9
250000002259; 300.89; 300.89
190000000761; 88129; 88129
210000001206; 887; 887
150000000041; 12347.49; 12347.49
50000000960; Sem lancamento; -
190000001888; 2900; 2900
190000000924; 1671.18; 1671.18
240000000086; 5000; 4990
270000000239; 32768.83; 32767.23
90000000560; Sem prestacao; Sem prestacao
