Sequencial; Receitas
250000003665; Sem prestacao
250000003986; 17105.06
250000004046; 426974
250000004047; 4026
250000004048; 786
250000004066; 1411.25
250000004067; 1331.5
250000004068; 752
250000004069; Sem prestacao
250000004070; Sem prestacao
250000004071; 1366.5
250000004072; Sem prestacao
250000004073; 1611.25
250000004074; 3336.5
250000004075; 1611.25
250000004076; Sem prestacao
250000004077; 1824
250000004078; Sem prestacao
250000004079; Sem prestacao
250000004080; 45424
250000004084; 2312
250000004088; 2206
250000004090; 28214.5
250000004126; Sem prestacao
250000004147; Sem lancamento
250000004148; Sem lancamento
250000004166; 350
250000004167; 111.11
250000004168; 1986.6
250000004186; 3724
250000004187; Sem prestacao
250000004206; 6900
250000004246; Sem lancamento
250000004266; Sem lancamento
260000000346; Sem lancamento
260000000348; 221500
260000000350; Sem lancamento
260000000352; 600
260000000353; 18555.4
260000000355; Sem lancamento
260000000356; 26167.9
260000000360; Sem lancamento
260000000361; Sem lancamento
270000000522; Sem lancamento
270000000541; 2293
270000000581; 1400
270000000583; 1950
270000000584; 3050
10000000265; 6838.82
10000000266; 62037.25
10000000153; Sem prestacao
10000000154; 773195.5
10000000155; Sem prestacao
10000000156; Sem prestacao
10000000157; Sem lancamento
10000000158; 336793.13
10000000159; Sem lancamento
10000000160; Sem lancamento
10000000161; 156719.32
10000000162; Sem lancamento
10000000163; 737073
10000000164; 33000
10000000165; Sem lancamento
10000000166; 405006.67
10000000167; Sem lancamento
10000000168; 150900
10000000169; 560300
10000000170; 66093.33
10000000171; 399354.02
10000000172; 117551.17
10000000173; 470999.17
10000000174; Sem lancamento
10000000175; Sem prestacao
10000000176; 35504.13
10000000177; 136000
10000000178; 394403.65
10000000179; 103850
10000000180; 53846.15
10000000217; 42078.39
10000000218; 60826.19
10000000219; 36481.79
10000000220; 37880.15
10000000221; 25579.6
10000000036; 66490.44
10000000037; 1618.88
10000000038; Sem lancamento
10000000039; Sem lancamento
10000000040; 4071.7
10000000041; Sem lancamento
10000000042; 2700.22
10000000043; 23284.44
10000000044; 13979.2
10000000045; 5508.9
10000000046; Sem lancamento
10000000047; 5706.83
10000000048; 618.4
10000000049; 10290.5
10000000050; 2176.7
10000000051; Sem prestacao
10000000052; 51897.67
10000000053; 58634.38
10000000054; 26250
10000000055; 821.88
10000000056; Sem lancamento
10000000057; 3937.9
10000000058; 48500
10000000059; 3960.4
10000000060; 59311
10000000061; 3438.4
10000000062; 5438.4
10000000063; 1800
10000000064; 65790.4
10000000065; 3510.4
10000000066; 65510.4
10000000067; 13331.8
10000000068; 2510.4
10000000069; 39519.9
10000000070; 21410.4
10000000071; 2390.4
10000000072; 3438.4
10000000073; 28590.4
10000000074; 8390.4
10000000075; 34010.4
10000000076; 8390.4
10000000077; 3390.4
10000000078; 3390.4
10000000079; 8438.4
10000000080; 8390.4
10000000081; 3010.4
10000000082; 12019.9
10000000083; 15157.5
10000000084; 39632.43
10000000085; 93987.5
10000000087; 945
10000000090; 3315
10000000091; Sem prestacao
10000000092; 29135
10000000093; 36862.4
10000000094; 3315
10000000095; 5315
10000000096; 28846
10000000097; 15791.57
10000000098; 6315
10000000099; Sem lancamento
10000000100; 13157.5
10000000101; Sem prestacao
10000000102; 6564.76
10000000103; 3157.5
10000000104; 787.5
10000000105; 4315
10000000106; 13270.62
10000000107; 9315
10000000108; 2315
10000000109; Sem lancamento
10000000111; 157.5
10000000112; 57879.2
10000000113; 3157.5
10000000001; 4914918.29
10000000002; Sem prestacao
10000000003; 2150861.68
10000000004; Sem prestacao
10000000005; Sem prestacao
10000000021; 31065.81
10000000022; 16530
10000000023; 1141.55
10000000024; 3506.45
10000000025; 32454.89
10000000026; 3897.35
10000000027; 19697.29
10000000028; 25000
10000000029; Sem lancamento
10000000030; Sem lancamento
10000000031; 4956.9
10000000032; 2455.72
10000000033; 12506.44
10000000034; 1113.9
